H00024 NP_003318.1 TNR4_HUMAN
H00080 NP_000806.2 GBRD_HUMAN
H00081 NP_002735.3 KPCZ_HUMAN
H00082 NP_001028753.1 KPCZ_HUMAN
H00083 NP_001028754.1 KPCZ_HUMAN
H00090 NP_002608.1 PEX10_HUMAN
H00091 NP_722540.1 PEX10_HUMAN
H00092 NP_055453.2 PLCH2_HUMAN
H00095 NP_003811.2 TNR14_HUMAN
H00100 NP_955533.2 PRD16_HUMAN
H00101 NP_071397.3 PRD16_HUMAN
H00107 NP_005418.1 P73_HUMAN
H00108 NP_001119712.1 P73_HUMAN
H00109 NP_001119713.1 P73_HUMAN
H00110 NP_001119714.1 P73_HUMAN
H00133 NP_113663.2 ESPN_HUMAN
H00156 NP_058515.1 PER3_HUMAN
H00157 NP_068835.1 UTS2_HUMAN
H00158 NP_006777.1 UTS2_HUMAN
H00160 NP_009193.2 PARK7_HUMAN
H00161 NP_001116849.1 PARK7_HUMAN
H00164 NP_036234.3 RERE_HUMAN
H00165 NP_001036146.1 RERE_HUMAN
H00166 NP_001036147.1 RERE_HUMAN
H00173 NP_004276.2 G6PE_HUMAN
H00188 NP_055889.2 KIF1B_HUMAN
H00189 NP_904325.2 KIF1B_HUMAN
H00197 NP_004556.1 PEX14_HUMAN
H00201 NP_031401.1 TADBP_HUMAN
H00230 NP_005948.3 MTHR_HUMAN
H00235 NP_006163.1 ANF_HUMAN
H00236 NP_002512.1 ANFB_HUMAN
H00238 NP_000293.2 PLOD1_HUMAN
H00239 NP_055689.1 MFN2_HUMAN
H00240 NP_001121132.1 MFN2_HUMAN
H00244 NP_001057.1 TNR1B_HUMAN
H00319 NP_003434.2 ZBT17_HUMAN
H00322 NP_004061.3 CLCKA_HUMAN
H00323 NP_001036169.1 CLCKA_HUMAN
H00347 NP_001135446.1 AT132_HUMAN
H00348 NP_071372.1 AT132_HUMAN
H00349 NP_001135445.1 AT132_HUMAN
H00354 NP_036519.2 PADI4_HUMAN
H00363 NP_001128726.1 PAX7_HUMAN
H00364 NP_039236.1 PAX7_HUMAN
H00365 NP_002575.1 PAX7_HUMAN
H00382 NP_004921.1 CAPZB_HUMAN
